workerId,problem,treatment,domain,question,options,response,correct
12,5,1,2,5,"[9, 15, 21, 27]","[[9], []]",True
12,6,3,2,15,"[29, 35, 41, 47]","[[47], [41, 47, 29, 35]]",False
12,7,3,1,20,"[32, 38, 44, 50]","[[50], [38, 50, 32, 44]]",False
12,8,3,3,1,"[1, 7, 13, 19]","[[1], [19, 7, 1, 13]]",True
12,9,3,2,1,"[1, 7, 13, 19]","[[1], [7, 1, 19, 13]]",True
12,10,3,2,10,"[19, 25, 31, 37]","[[31], [37, 31, 25, 19]]",False
13,1,3,1,16,"[31, 37, 43, 49]","[[49], [43, 37, 49, 31]]",False
13,2,3,2,11,"[21, 27, 33, 39]","[[27], [33, 27, 39, 21]]",False
13,3,3,2,4,"[7, 13, 19, 25]","[[7], [25, 7, 13, 19]]",True
13,4,3,1,9,"[17, 23, 29, 35]","[[17], [17, 29, 35, 23]]",True
13,5,3,1,3,"[5, 11, 17, 23]","[[17], [23, 17, 11, 5]]",False
13,6,4,1,2,"[3, 9, 15, 21]","[[9, 15, 21, 3], []]",False
13,7,4,2,13,"[25, 31, 37, 43]","[[31, 37, 43, 25], []]",False
13,8,4,2,4,"[7, 13, 19, 25]","[[19, 25, 13, 7], []]",False
13,9,4,1,5,"[9, 15, 21, 27]","[[21, 27, 9, 15], []]",False
13,10,4,1,18,"[12, 18, 24, 30]","[[12, 30, 18, 24], []]",True
14,1,3,2,13,"[25, 31, 37, 43]","[[31], [31, 37, 43, 25]]",False
14,2,3,1,13,"[25, 31, 37, 43]","[[25], [25, 37, 31, 43]]",True
14,3,3,2,3,"[5, 11, 17, 23]","[[5], [5, 23, 17, 11]]",True
14,4,3,2,14,"[27, 33, 39, 45]","[[27], [27, 45, 39, 33]]",True
14,5,3,1,20,"[32, 38, 44, 50]","[[38], [38, 44, 32, 50]]",False
14,6,5,2,16,"[31, 37, 43, 49]","[[31, 37, 49, 43], [31]]",True
14,7,5,1,5,"[9, 15, 21, 27]","[[9, 15, 21, 27], [9]]",True
14,8,5,2,1,"[1, 7, 13, 19]","[[7, 1, 19, 13], [7]]",False
14,9,5,2,10,"[19, 25, 31, 37]","[[31, 25, 19, 37], [31]]",False
14,10,5,1,16,"[31, 37, 43, 49]","[[43, 49, 31, 37], [43]]",False
15,1,3,1,9,"[17, 23, 29, 35]","[[17], [17, 29, 23, 35]]",True
15,2,3,3,15,"[29, 35, 41, 47]","[[29], [29, 41, 35, 47]]",True
15,3,3,1,16,"[31, 37, 43, 49]","[[37], [37, 49, 43, 31]]",False
15,4,3,2,9,"[17, 23, 29, 35]","[[29], [29, 17, 35, 23]]",False
15,5,3,3,18,"[12, 18, 24, 30]","[[12], [18, 12, 30, 24]]",True
15,6,4,1,2,"[3, 9, 15, 21]","[[21, 3, 15, 9], []]",False
15,7,4,3,10,"[19, 25, 31, 37]","[[19, 37, 31, 25], []]",True
15,8,4,1,9,"[17, 23, 29, 35]","[[17, 29, 35, 23], []]",True
15,9,4,2,12,"[23, 29, 35, 41]","[[29, 41, 35, 23], []]",False
15,10,4,3,13,"[25, 31, 37, 43]","[[25, 37, 31, 43], []]",True
16,1,5,3,8,"[15, 21, 27, 33]","[[27, 33, 21, 15], [15]]",False
16,2,5,2,9,"[17, 23, 29, 35]","[[17, 23, 29, 35], [35]]",True
16,3,5,2,7,"[13, 19, 25, 31]","[[31, 13, 25, 19], [31]]",False
16,4,5,1,11,"[21, 27, 33, 39]","[[39, 21, 27, 33], [21]]",False
16,5,5,2,3,"[5, 11, 17, 23]","[[17, 23, 5, 11], [5]]",False
16,6,2,3,16,"[31, 37, 43, 49]","[[49], [43]]",False
16,7,2,2,1,"[1, 7, 13, 19]","[[1], [7]]",True
16,8,2,2,8,"[15, 21, 27, 33]","[[33], [27]]",False
16,9,2,1,13,"[25, 31, 37, 43]","[[25], [37]]",True
16,10,2,2,10,"[19, 25, 31, 37]","[[31], [25]]",False
17,1,3,1,9,"[17, 23, 29, 35]","[[17], [17, 23, 29, 35]]",True
17,2,3,1,14,"[27, 33, 39, 45]","[[39], [39, 45, 33, 27]]",False
17,3,3,3,1,"[1, 7, 13, 19]","[[19], [7, 19, 1, 13]]",False
17,4,3,2,3,"[5, 11, 17, 23]","[[11], [11, 5, 17, 23]]",False
17,5,3,1,16,"[31, 37, 43, 49]","[[43], [43, 49, 37, 31]]",False
17,6,4,1,5,"[9, 15, 21, 27]","[[9, 27, 15, 21], []]",True
17,7,4,1,19,"[22, 28, 34, 40]","[[22, 28, 34, 40], []]",True
17,8,4,3,14,"[27, 33, 39, 45]","[[33, 27, 45, 39], []]",False
17,9,4,2,10,"[19, 25, 31, 37]","[[37, 25, 31, 19], []]",False
17,10,4,1,17,"[2, 8, 14, 20]","[[2, 8, 20, 14], []]",True
18,1,2,3,11,"[21, 27, 33, 39]","[[21], [39]]",True
18,2,2,3,3,"[5, 11, 17, 23]","[[11], [23]]",False
18,3,2,2,9,"[17, 23, 29, 35]","[[35], [29]]",False
18,4,2,1,5,"[9, 15, 21, 27]","[[9], [21]]",True
18,5,2,2,7,"[13, 19, 25, 31]","[[31], [25]]",False
18,6,3,3,7,"[13, 19, 25, 31]","[[25], [25, 31, 13, 19]]",False
18,7,3,3,17,"[2, 8, 14, 20]","[[14], [14, 8, 2, 20]]",False
18,8,3,2,13,"[25, 31, 37, 43]","[[37], [37, 25, 31, 43]]",False
18,9,3,1,13,"[25, 31, 37, 43]","[[25], [25, 43, 37, 31]]",True
18,10,3,2,14,"[27, 33, 39, 45]","[[39], [39, 27, 33, 45]]",False
19,1,4,2,1,"[1, 7, 13, 19]","[[7, 13, 1, 19], []]",False
19,2,4,3,19,"[22, 28, 34, 40]","[[28, 40, 34, 22], []]",False
19,3,4,1,12,"[23, 29, 35, 41]","[[29, 41, 23, 35], []]",False
19,4,4,1,4,"[7, 13, 19, 25]","[[7, 25, 19, 13], []]",True
19,5,4,2,9,"[17, 23, 29, 35]","[[35, 29, 17, 23], []]",False
19,6,2,2,6,"[11, 17, 23, 29]","[[23], [29]]",False
19,7,2,3,10,"[19, 25, 31, 37]","[[25], [19]]",False
19,8,2,1,10,"[19, 25, 31, 37]","[[25], [37]]",False
19,9,2,1,8,"[15, 21, 27, 33]","[[21], [33]]",False
19,10,2,2,15,"[29, 35, 41, 47]","[[41], [29]]",False
20,1,3,1,14,"[27, 33, 39, 45]","[[39], [27, 39, 33, 45]]",False
20,2,3,1,19,"[22, 28, 34, 40]","[[28], [40, 28, 34, 22]]",False
20,3,3,1,12,"[23, 29, 35, 41]","[[41], [35, 41, 29, 23]]",False
20,4,3,2,16,"[31, 37, 43, 49]","[[37], [37, 49, 31, 43]]",False
20,5,3,1,7,"[13, 19, 25, 31]","[[25], [25, 13, 19, 31]]",False
20,6,5,1,7,"[13, 19, 25, 31]","[[25, 13, 31, 19], [25]]",False
20,7,5,1,20,"[32, 38, 44, 50]","[[38, 32, 50, 44], [38]]",False
20,8,5,1,8,"[15, 21, 27, 33]","[[15, 27, 33, 21], [27]]",True
20,9,5,2,17,"[2, 8, 14, 20]","[[2, 14, 8, 20], [14]]",True
20,10,5,1,19,"[22, 28, 34, 40]","[[28, 34, 40, 22], [34]]",False
21,1,3,2,8,"[15, 21, 27, 33]","[[27], [27, 21, 33, 15]]",False
21,2,3,1,3,"[5, 11, 17, 23]","[[11], [11, 5, 23, 17]]",False
21,3,3,1,7,"[13, 19, 25, 31]","[[19], [19, 25, 31, 13]]",False
21,4,3,3,4,"[7, 13, 19, 25]","[[19], [13, 25, 7, 19]]",False
21,5,3,3,11,"[21, 27, 33, 39]","[[27], [33, 39, 21, 27]]",False
21,6,4,2,17,"[2, 8, 14, 20]","[[14, 8, 20, 2], []]",False
21,7,4,1,14,"[27, 33, 39, 45]","[[45, 39, 33, 27], []]",False
21,8,4,1,6,"[11, 17, 23, 29]","[[11, 17, 23, 29], []]",True
21,9,4,3,2,"[3, 9, 15, 21]","[[15, 9, 3, 21], []]",False
21,10,4,3,16,"[31, 37, 43, 49]","[[43, 31, 49, 37], []]",False
22,1,2,2,20,"[32, 38, 44, 50]","[[38], [38]]",False
22,2,2,1,2,"[3, 9, 15, 21]","[[3], [3]]",True
22,3,2,3,5,"[9, 15, 21, 27]","[[15], [15]]",False
22,4,2,2,9,"[17, 23, 29, 35]","[[23], [23]]",False
22,5,2,2,18,"[12, 18, 24, 30]","[[30], [30]]",False
22,6,1,2,5,"[9, 15, 21, 27]","[[15], []]",False
22,7,1,1,1,"[1, 7, 13, 19]","[[1], []]",True
22,8,1,3,1,"[1, 7, 13, 19]","[[1], []]",True
22,9,1,2,1,"[1, 7, 13, 19]","[[19], []]",False
22,10,1,2,2,"[3, 9, 15, 21]","[[15], []]",False
23,1,2,1,8,"[15, 21, 27, 33]","[[21], [33]]",False
23,2,2,2,1,"[1, 7, 13, 19]","[[1], [7]]",True
23,3,2,1,9,"[17, 23, 29, 35]","[[29], [29]]",False
23,4,2,3,14,"[27, 33, 39, 45]","[[45], [39]]",False
23,5,2,1,11,"[21, 27, 33, 39]","[[21], [33]]",True
23,6,1,1,12,"[23, 29, 35, 41]","[[29], []]",False
23,7,1,2,1,"[1, 7, 13, 19]","[[1], []]",True
23,8,1,1,20,"[32, 38, 44, 50]","[[38], []]",False
23,9,1,3,14,"[27, 33, 39, 45]","[[45], []]",False
23,10,1,1,11,"[21, 27, 33, 39]","[[21], []]",True
24,1,3,2,12,"[23, 29, 35, 41]","[[35], [35, 23, 41, 29]]",False
24,2,3,1,20,"[32, 38, 44, 50]","[[38], [32, 38, 44, 50]]",False
24,3,3,3,8,"[15, 21, 27, 33]","[[21], [21, 15, 33, 27]]",False
24,4,3,1,17,"[2, 8, 14, 20]","[[2], [2, 8, 20, 14]]",True
24,5,3,3,18,"[12, 18, 24, 30]","[[12], [12, 18, 30, 24]]",True
24,6,5,2,9,"[17, 23, 29, 35]","[[17, 35, 23, 29], [17]]",True
24,7,5,1,1,"[1, 7, 13, 19]","[[1, 7, 19, 13], [1]]",True
24,8,5,3,18,"[12, 18, 24, 30]","[[12, 18, 30, 24], [12]]",True
24,9,5,1,10,"[19, 25, 31, 37]","[[25, 19, 37, 31], [25]]",False
24,10,5,3,8,"[15, 21, 27, 33]","[[21, 15, 33, 27], [21]]",False
25,1,3,1,14,"[27, 33, 39, 45]","[[27], [27, 33, 45, 39]]",True
25,2,3,1,8,"[15, 21, 27, 33]","[[15], [15, 21, 27, 33]]",True
25,3,3,3,14,"[27, 33, 39, 45]","[[33], [33, 45, 39, 27]]",False
25,4,3,1,16,"[31, 37, 43, 49]","[[31], [31, 43, 37, 49]]",True
25,5,3,1,11,"[21, 27, 33, 39]","[[21], [21, 27, 33, 39]]",True
25,6,4,1,3,"[5, 11, 17, 23]","[[5, 11, 17, 23], []]",True
25,7,4,1,10,"[19, 25, 31, 37]","[[19, 25, 31, 37], []]",True
25,8,4,3,8,"[15, 21, 27, 33]","[[21, 15, 33, 27], []]",False
25,9,4,1,16,"[31, 37, 43, 49]","[[37, 43, 49, 31], []]",False
25,10,4,1,13,"[25, 31, 37, 43]","[[25, 31, 37, 43], []]",True
26,1,6,1,17,"[2, 8, 14, 20]","[[14, 2, 8, 20], [8, 20, 2, 14]]",False
26,2,6,1,5,"[9, 15, 21, 27]","[[15, 27, 9, 21], [15, 21, 9, 27]]",False
26,3,6,2,9,"[17, 23, 29, 35]","[[23, 35, 29, 17], [17, 23, 35, 29]]",False
26,4,6,3,6,"[11, 17, 23, 29]","[[23, 11, 17, 29], [29, 11, 23, 17]]",False
26,5,6,3,16,"[31, 37, 43, 49]","[[37, 49, 31, 43], [31, 43, 37, 49]]",False
26,6,2,1,19,"[22, 28, 34, 40]","[[34], [22]]",False
26,7,2,1,10,"[19, 25, 31, 37]","[[37], [25]]",False
26,8,2,2,3,"[5, 11, 17, 23]","[[5], [11]]",True
26,9,2,3,16,"[31, 37, 43, 49]","[[49], [31]]",False
26,10,2,3,1,"[1, 7, 13, 19]","[[19], [1]]",False
27,1,1,1,12,"[23, 29, 35, 41]","[[41], []]",False
27,2,1,1,13,"[25, 31, 37, 43]","[[37], []]",False
27,3,1,2,15,"[29, 35, 41, 47]","[[35], []]",False
27,4,1,1,18,"[12, 18, 24, 30]","[[18], []]",False
27,5,1,2,6,"[11, 17, 23, 29]","[[11], []]",True
27,6,4,1,19,"[22, 28, 34, 40]","[[22, 40, 28, 34], []]",True
27,7,4,1,2,"[3, 9, 15, 21]","[[3, 9, 15, 21], []]",True
27,8,4,2,1,"[1, 7, 13, 19]","[[19, 1, 7, 13], []]",False
27,9,4,1,18,"[12, 18, 24, 30]","[[18, 24, 30, 12], []]",False
27,10,4,2,9,"[17, 23, 29, 35]","[[17, 35, 23, 29], []]",True
28,1,4,2,3,"[5, 11, 17, 23]","[[5, 17, 23, 11], []]",True
28,2,4,2,15,"[29, 35, 41, 47]","[[35, 47, 29, 41], []]",False
28,3,4,2,19,"[22, 28, 34, 40]","[[40, 28, 22, 34], []]",False
28,4,4,2,6,"[11, 17, 23, 29]","[[17, 23, 29, 11], []]",False
28,5,4,1,15,"[29, 35, 41, 47]","[[29, 41, 35, 47], []]",True
28,6,3,2,4,"[7, 13, 19, 25]","[[7], [7, 25, 19, 13]]",True
28,7,3,2,3,"[5, 11, 17, 23]","[[5], [17, 5, 23, 11]]",True
28,8,3,2,18,"[12, 18, 24, 30]","[[30], [30, 12, 18, 24]]",False
28,9,3,2,11,"[21, 27, 33, 39]","[[33], [33, 39, 27, 21]]",False
28,10,3,1,18,"[12, 18, 24, 30]","[[24], [24, 30, 18, 12]]",False
29,1,1,2,18,"[12, 18, 24, 30]","[[30], []]",False
29,2,1,1,11,"[21, 27, 33, 39]","[[21], []]",True
29,3,1,1,15,"[29, 35, 41, 47]","[[29], []]",True
29,4,1,3,1,"[1, 7, 13, 19]","[[7], []]",False
29,5,1,1,19,"[22, 28, 34, 40]","[[40], []]",False
29,6,4,2,18,"[12, 18, 24, 30]","[[30, 24, 18, 12], []]",False
29,7,4,1,11,"[21, 27, 33, 39]","[[21, 39, 27, 33], []]",True
29,8,4,1,17,"[2, 8, 14, 20]","[[20, 8, 14, 2], []]",False
29,9,4,3,19,"[22, 28, 34, 40]","[[22, 34, 28, 40], []]",True
29,10,4,1,10,"[19, 25, 31, 37]","[[19, 31, 25, 37], []]",True
30,1,6,1,13,"[25, 31, 37, 43]","[[43, 25, 31, 37], [25, 43, 31, 37]]",False
30,2,6,2,17,"[2, 8, 14, 20]","[[2, 14, 8, 20], [14, 2, 8, 20]]",True
30,3,6,3,17,"[2, 8, 14, 20]","[[2, 14, 20, 8], [20, 2, 14, 8]]",True
30,4,6,2,11,"[21, 27, 33, 39]","[[39, 27, 21, 33], [21, 39, 33, 27]]",False
30,5,6,2,2,"[3, 9, 15, 21]","[[9, 15, 21, 3], [15, 9, 21, 3]]",False
30,6,2,1,9,"[17, 23, 29, 35]","[[17], [29]]",True
30,7,2,2,17,"[2, 8, 14, 20]","[[2], [2]]",True
30,8,2,3,4,"[7, 13, 19, 25]","[[19], [25]]",False
30,9,2,2,1,"[1, 7, 13, 19]","[[7], [1]]",False
30,10,2,2,18,"[12, 18, 24, 30]","[[30], [30]]",False
31,1,1,2,6,"[11, 17, 23, 29]","[[23], []]",False
31,2,1,1,2,"[3, 9, 15, 21]","[[3], []]",True
31,3,1,3,9,"[17, 23, 29, 35]","[[3], []]",False
31,4,1,1,1,"[1, 7, 13, 19]","[[1], []]",True
31,5,1,1,11,"[21, 27, 33, 39]","[[21], []]",True
31,6,6,2,17,"[2, 8, 14, 20]","[[2, 8, 14, 20], [20, 8, 2, 14]]",True
31,7,6,1,9,"[17, 23, 29, 35]","[[35, 29, 17, 23], [17, 23, 35, 29]]",False
31,8,6,3,1,"[1, 7, 13, 19]","[[13, 7, 19, 1], [19, 13, 7, 1]]",False
31,9,6,1,1,"[1, 7, 13, 19]","[[1, 7, 19, 13], [1, 7, 19, 13]]",True
31,10,6,1,10,"[19, 25, 31, 37]","[[19, 25, 37, 31], [37, 31, 19, 25]]",True
32,1,6,1,14,"[27, 33, 39, 45]","[[27, 33, 39, 45], [27, 45, 39, 33]]",True
32,2,6,3,11,"[21, 27, 33, 39]","[[21, 39, 33, 27], [39, 33, 21, 27]]",True
32,3,6,3,14,"[27, 33, 39, 45]","[[45, 39, 33, 27], [39, 45, 33, 27]]",False
32,4,6,2,9,"[17, 23, 29, 35]","[[35, 23, 17, 29], [35, 23, 17, 29]]",False
32,5,6,1,1,"[1, 7, 13, 19]","[[1, 7, 13, 19], [1, 13, 7, 19]]",True
32,6,2,1,15,"[29, 35, 41, 47]","[[35], [41]]",False
32,7,2,3,12,"[23, 29, 35, 41]","[[35], [41]]",False
32,8,2,3,10,"[19, 25, 31, 37]","[[19], [37]]",True
32,9,2,2,8,"[15, 21, 27, 33]","[[27], [27]]",False
32,10,2,1,1,"[1, 7, 13, 19]","[[1], [1]]",True
33,1,4,2,10,"[19, 25, 31, 37]","[[31, 19, 37, 25], []]",False
33,2,4,2,16,"[31, 37, 43, 49]","[[31, 43, 49, 37], []]",True
33,3,4,1,2,"[3, 9, 15, 21]","[[21, 3, 15, 9], []]",False
33,4,4,1,3,"[5, 11, 17, 23]","[[11, 5, 17, 23], []]",False
33,5,4,1,14,"[27, 33, 39, 45]","[[27, 45, 33, 39], []]",True
33,6,1,2,6,"[11, 17, 23, 29]","[[17], []]",False
33,7,1,2,3,"[5, 11, 17, 23]","[[17], []]",False
33,8,1,1,1,"[1, 7, 13, 19]","[[19], []]",False
33,9,1,1,5,"[9, 15, 21, 27]","[[21], []]",False
33,10,1,1,4,"[7, 13, 19, 25]","[[19], []]",False
34,1,2,3,12,"[23, 29, 35, 41]","[[41], [23]]",False
34,2,2,3,16,"[31, 37, 43, 49]","[[31], [31]]",True
34,3,2,2,2,"[3, 9, 15, 21]","[[21], [15]]",False
34,4,2,1,3,"[5, 11, 17, 23]","[[5], [5]]",True
34,5,2,3,18,"[12, 18, 24, 30]","[[24], [24]]",False
34,6,3,3,7,"[13, 19, 25, 31]","[[31], [31, 25, 19, 13]]",False
34,7,3,3,18,"[12, 18, 24, 30]","[[24], [24, 12, 30, 18]]",False
34,8,3,2,2,"[3, 9, 15, 21]","[[21], [15, 21, 3, 9]]",False
34,9,3,1,2,"[3, 9, 15, 21]","[[3], [3, 9, 21, 15]]",True
34,10,3,3,11,"[21, 27, 33, 39]","[[33], [33, 21, 27, 39]]",False
35,1,5,2,16,"[31, 37, 43, 49]","[[49, 37, 43, 31], [37]]",False
